/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect8-vm1-512Write-16files-iodpeth96-try1:  write: IOPS=2835, BW= 1419 MiB/s (1488MB/s)(41.6GiB/30020msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect8-vm1-4Read-16files-iodpeth96-try1:   read: IOPS=92.7k, BW= 362 MiB/s (380MB/s)(10.6GiB/30001msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-4Read-16files-iodpeth128-try1:   read: IOPS=93.7k, BW= 366 MiB/s (384MB/s)(10.7GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-4Read-16files-iodpeth96-try1:   read: IOPS=101k, BW= 395 MiB/s (414MB/s)(11.6GiB/30001msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect8-vm1-4Read-16files-iodpeth128-try1:   read: IOPS=101k, BW= 395 MiB/s (414MB/s)(11.6GiB/30001msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-4Read-16files-iodpeth128-try1:   read: IOPS=111k, BW= 434 MiB/s (455MB/s)(12.7GiB/30001msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-64Read-16files-iodpeth128-try1:   read: IOPS=27.2k, BW= 1701 MiB/s (1784MB/s)(49.9GiB/30012msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-64Read-16files-iodpeth96-try1:   read: IOPS=27.2k, BW= 1703 MiB/s (1786MB/s)(49.9GiB/30003msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-64Read-16files-iodpeth96-try1:   read: IOPS=27.2k, BW= 1703 MiB/s (1786MB/s)(49.9GiB/30006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-64Read-16files-iodpeth48-try1:   read: IOPS=27.9k, BW= 1741 MiB/s (1826MB/s)(51.0GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-64Read-16files-iodpeth48-try1:   read: IOPS=28.8k, BW= 1801 MiB/s (1889MB/s)(52.8GiB/30001msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-128Read-16files-iodpeth96-try1:   read: IOPS=15.6k, BW= 1953 MiB/s (2048MB/s)(57.2GiB/30009msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-128Read-16files-iodpeth96-try1:   read: IOPS=16.1k, BW= 2019 MiB/s (2117MB/s)(59.2GiB/30023msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-128Read-16files-iodpeth48-try1:   read: IOPS=16.4k, BW= 2056 MiB/s (2156MB/s)(60.2GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-128Read-16files-iodpeth24-try1:   read: IOPS=17.9k, BW= 2236 MiB/s (2345MB/s)(65.5GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-128Read-16files-iodpeth24-try1:   read: IOPS=17.0k, BW= 2248 MiB/s (2357MB/s)(65.9GiB/30001msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-256Read-16files-iodpeth96-try1:   read: IOPS=8803, BW= 2202 MiB/s (2309MB/s)(64.6GiB/30025msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-256Read-16files-iodpeth48-try1:   read: IOPS=8913, BW= 2229 MiB/s (2337MB/s)(65.3GiB/30010msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-256Read-16files-iodpeth16-try1:   read: IOPS=9134, BW= 2284 MiB/s (2395MB/s)(66.9GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-256Read-16files-iodpeth16-try1:   read: IOPS=9452, BW= 2363 MiB/s (2478MB/s)(69.2GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-256Read-16files-iodpeth128-try1:   read: IOPS=9506, BW= 2378 MiB/s (2493MB/s)(69.7GiB/30033msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-16files-iodpeth96-try1:   read: IOPS=4228, BW= 2116 MiB/s (2219MB/s)(62.0GiB/30008msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-512Read-16files-iodpeth16-try1:   read: IOPS=4295, BW= 2148 MiB/s (2253MB/s)(62.9GiB/30003msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-512Read-16files-iodpeth24-try1:   read: IOPS=4324, BW= 2163 MiB/s (2268MB/s)(63.4GiB/30007msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-16files-iodpeth128-try1:   read: IOPS=4323, BW= 2164 MiB/s (2269MB/s)(63.4GiB/30009msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-512Read-16files-iodpeth48-try1:   read: IOPS=4498, BW= 2250 MiB/s (2359MB/s)(66.0GiB/30039msec)
########
########
########
########
########
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect8-vm1-4Read-1000files-iodpeth128-try1:   read: IOPS=75.5k, BW= 295 MiB/s (309MB/s)(8849 MiB/30001msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-4Read-1000files-iodpeth96-try1:   read: IOPS=84.6k, BW= 330 MiB/s (346MB/s)(9911 MiB/30001msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-4Read-1000files-iodpeth128-try1:   read: IOPS=90.7k, BW= 354 MiB/s (372MB/s)(10.4GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-4Read-1000files-iodpeth96-try1:   read: IOPS=90.7k, BW= 354 MiB/s (372MB/s)(10.4GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-4Read-1000files-iodpeth128-try1:   read: IOPS=101k, BW= 393 MiB/s (412MB/s)(11.5GiB/30001msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect8-vm1-64Read-1000files-iodpeth128-try1:   read: IOPS=27.6k, BW= 1728 MiB/s (1812MB/s)(50.7GiB/30018msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect8-vm1-64Read-1000files-iodpeth48-try1:   read: IOPS=28.4k, BW= 1775 MiB/s (1861MB/s)(51.0GiB/30001msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-64Read-1000files-iodpeth48-try1:   read: IOPS=29.4k, BW= 1837 MiB/s (1927MB/s)(53.8GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-64Read-1000files-iodpeth48-try1:   read: IOPS=30.6k, BW= 1910 MiB/s (2002MB/s)(55.9GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-64Read-1000files-iodpeth96-try1:   read: IOPS=31.1k, BW= 1942 MiB/s (2036MB/s)(56.9GiB/30002msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-128Read-1000files-iodpeth24-try1:   read: IOPS=17.3k, BW= 2162 MiB/s (2267MB/s)(63.3GiB/30003msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-128Read-1000files-iodpeth96-try1:   read: IOPS=17.3k, BW= 2163 MiB/s (2268MB/s)(63.5GiB/30043msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect8-vm1-128Read-1000files-iodpeth24-try1:   read: IOPS=17.4k, BW= 2173 MiB/s (2278MB/s)(63.7GiB/30037msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-128Read-1000files-iodpeth48-try1:   read: IOPS=17.4k, BW= 2175 MiB/s (2281MB/s)(63.8GiB/30016msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-128Read-1000files-iodpeth24-try1:   read: IOPS=18.1k, BW= 2268 MiB/s (2378MB/s)(67.8GiB/30587msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-256Read-1000files-iodpeth128-try1:   read: IOPS=9694, BW= 2425 MiB/s (2543MB/s)(71.7GiB/30294msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-256Read-1000files-iodpeth96-try1:   read: IOPS=9702, BW= 2426 MiB/s (2544MB/s)(71.2GiB/30040msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-256Read-1000files-iodpeth48-try1:   read: IOPS=9719, BW= 2430 MiB/s (2548MB/s)(71.2GiB/30021msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-256Read-1000files-iodpeth96-try1:   read: IOPS=10.1k, BW= 2526 MiB/s (2648MB/s)(74.5GiB/30226msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-256Read-1000files-iodpeth128-try1:   read: IOPS=10.4k, BW= 2603 MiB/s (2730MB/s)(76.8GiB/30221msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-1000files-iodpeth16-try1:   read: IOPS=4250, BW= 2126 MiB/s (2229MB/s)(62.3GiB/30007msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-1000files-iodpeth24-try1:   read: IOPS=4505, BW= 2253 MiB/s (2363MB/s)(66.0GiB/30004msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-1000files-iodpeth96-try1:   read: IOPS=4552, BW= 2278 MiB/s (2388MB/s)(66.8GiB/30040msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-1000files-iodpeth48-try1:   read: IOPS=4592, BW= 2297 MiB/s (2409MB/s)(67.4GiB/30041msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-1000files-iodpeth128-try1:   read: IOPS=4706, BW= 2356 MiB/s (2470MB/s)(69.1GiB/30028msec)
########
